latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
13.673111,-89.17432,793.0,-21600,America/El_Salvador,GMT-6

time,temperature_2m (°C),relative_humidity_2m (%),wind_speed_10m (km/h),wind_gusts_10m (km/h),surface_pressure (hPa),shortwave_radiation (W/m²),dew_point_2m (°C),wind_direction_10m (°),et0_fao_evapotranspiration (mm),rain (mm),cloud_cover (%),direct_radiation (W/m²),direct_normal_irradiance (W/m²)
2025-01-01T00:00,20.1,90,9.2,19.1,925.1,0.0,18.4,315,0.00,0.00,100,0.0,0.0
2025-01-01T01:00,19.7,93,7.9,21.6,924.9,0.0,18.4,321,0.00,0.00,100,0.0,0.0
2025-01-01T02:00,19.5,94,7.8,17.6,924.4,0.0,18.4,316,0.00,0.00,100,0.0,0.0
2025-01-01T03:00,19.3,93,6.5,17.3,924.0,0.0,18.1,312,0.00,0.00,99,0.0,0.0
2025-01-01T04:00,19.1,92,6.5,14.8,923.8,0.0,17.8,312,0.00,0.00,62,0.0,0.0
2025-01-01T05:00,19.1,91,7.4,15.8,924.3,0.0,17.6,309,0.00,0.00,95,0.0,0.0
2025-01-01T06:00,18.9,92,7.1,15.8,925.0,0.0,17.5,315,0.00,0.00,100,0.0,0.0
2025-01-01T07:00,20.2,86,3.8,11.5,926.3,16.0,17.9,278,0.02,0.10,100,3.0,28.5
2025-01-01T08:00,20.9,83,2.2,13.0,927.8,100.0,17.9,228,0.07,0.00,100,9.0,36.3
2025-01-01T09:00,22.2,76,3.6,13.3,928.4,219.0,17.8,360,0.15,0.00,100,63.0,140.1
2025-01-01T10:00,24.2,67,5.2,18.0,928.5,423.0,17.7,358,0.30,0.00,100,177.0,288.0
2025-01-01T11:00,26.5,55,4.9,21.6,928.6,670.0,16.6,28,0.48,0.10,100,436.0,596.0
2025-01-01T12:00,27.9,49,4.2,21.2,927.6,800.0,16.1,85,0.58,0.20,99,641.0,808.9
2025-01-01T13:00,27.5,50,5.5,22.0,926.6,752.0,16.0,113,0.55,0.20,100,591.0,745.3
2025-01-01T14:00,27.2,51,2.3,22.7,925.1,564.0,16.2,135,0.41,0.10,100,359.0,489.5
2025-01-01T15:00,27.0,53,8.7,28.4,924.7,528.0,16.6,122,0.40,0.50,100,340.0,550.7
2025-01-01T16:00,24.6,71,6.1,26.3,924.4,289.0,19.1,135,0.21,0.00,100,114.0,251.5
2025-01-01T17:00,24.2,73,4.8,18.0,925.3,165.0,19.0,101,0.11,0.00,100,71.0,281.9
2025-01-01T18:00,22.2,83,6.6,20.2,925.8,17.0,19.2,26,0.03,0.00,100,2.0,18.6
2025-01-01T19:00,22.0,83,5.8,12.6,926.1,0.0,19.0,355,0.00,0.00,100,0.0,0.0
2025-01-01T20:00,21.5,84,4.7,13.3,926.8,0.0,18.8,2,0.00,0.00,100,0.0,0.0
2025-01-01T21:00,21.5,84,6.7,15.5,927.4,0.0,18.7,8,0.00,0.00,100,0.0,0.0
2025-01-01T22:00,21.3,85,7.2,18.0,927.7,0.0,18.7,360,0.00,0.00,100,0.0,0.0
2025-01-01T23:00,21.0,86,8.5,19.4,927.2,0.0,18.7,339,0.00,0.00,100,0.0,0.0
2025-01-02T00:00,20.7,87,9.1,20.9,927.0,0.0,18.4,326,0.00,0.00,100,0.0,0.0
2025-01-02T01:00,20.3,87,9.8,22.0,926.6,0.0,18.1,328,0.00,0.00,100,0.0,0.0
2025-01-02T02:00,20.2,87,9.3,22.0,926.1,0.0,17.9,326,0.00,0.00,100,0.0,0.0
2025-01-02T03:00,19.7,87,9.4,20.5,925.7,0.0,17.5,329,0.00,0.00,100,0.0,0.0
2025-01-02T04:00,19.1,87,10.5,23.4,925.4,0.0,16.9,325,0.00,0.00,100,0.0,0.0
2025-01-02T05:00,18.8,87,11.1,24.5,925.3,0.0,16.6,320,0.00,0.00,100,0.0,0.0
2025-01-02T06:00,18.8,87,11.3,25.2,925.7,0.0,16.5,323,0.01,0.00,100,0.0,0.0
